nameWithOwner,url,createdAt,updatedAt,stargazers,pullRequests,acceptedPullRequests,releases,primaryLanguage,totalIssues,closedIssues
ascoders/weekly,https://github.com/ascoders/weekly,2017-03-20,2022-02-14,17996,121,113,129,JavaScript,276,274
academic/awesome-datascience,https://github.com/academic/awesome-datascience,2014-07-05,2022-02-17,17979,272,259,0,,42,40
wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,2019-12-08,2022-02-08,17972,191,168,13,TypeScript,475,304
freefq/free,https://github.com/freefq/free,2020-06-07,2022-02-21,17968,10,0,0,,303,102
go-delve/delve,https://github.com/go-delve/delve,2014-05-20,2022-02-15,17949,1537,1235,17,Go,1362,1258
dracula/dracula-theme,https://github.com/dracula/dracula-theme,2013-10-27,2022-02-21,17942,121,83,24,,494,437
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,2014-07-04,2022-02-19,17940,3560,3065,112,Python,4031,3884
jaywcjlove/linux-command,https://github.com/jaywcjlove/linux-command,2016-11-12,2022-02-19,17927,238,185,11,Markdown,94,61
google/eng-practices,https://github.com/google/eng-practices,2019-09-04,2022-02-08,17916,31,8,0,,9,6
dotnet/corefx,https://github.com/dotnet/corefx,2014-11-06,2020-02-01,17901,24891,21856,103,,0,0
adobe-fonts/source-code-pro,https://github.com/adobe-fonts/source-code-pro,2012-08-09,2021-04-12,17889,57,47,13,CSS,214,159
PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,2011-08-23,2022-02-18,17838,605,379,52,PHP,1858,1834
SpaceVim/SpaceVim,https://github.com/SpaceVim/SpaceVim,2016-12-26,2022-02-20,17830,2351,2169,20,Vim script,2233,2180
mpv-player/mpv,https://github.com/mpv-player/mpv,2012-10-13,2022-02-18,17829,2638,1153,80,C,7181,6500
pytorch/examples,https://github.com/pytorch/examples,2016-08-24,2022-02-12,17827,445,289,0,Python,499,248
alibaba/weex,https://github.com/alibaba/weex,2016-03-11,2021-12-09,17818,1374,1090,7,C++,1908,1881
vadimdemedes/ink,https://github.com/vadimdemedes/ink,2017-06-12,2022-02-17,17792,225,164,43,TypeScript,268,212
streamlit/streamlit,https://github.com/streamlit/streamlit,2019-08-24,2022-02-17,17782,2086,1773,31,Python,2259,1728
wekan/wekan,https://github.com/wekan/wekan,2014-01-21,2022-02-17,17776,1112,871,310,JavaScript,3023,2306
recharts/recharts,https://github.com/recharts/recharts,2015-08-07,2022-02-10,17775,464,340,0,TypeScript,2311,1995
eggjs/egg,https://github.com/eggjs/egg,2016-06-18,2022-02-16,17761,1106,977,85,JavaScript,3760,3534
lutzroeder/netron,https://github.com/lutzroeder/netron,2010-12-26,2022-02-20,17756,113,1,2,JavaScript,767,749
asim/go-micro,https://github.com/asim/go-micro,2015-01-13,2022-02-16,17746,1500,1293,204,Go,883,819
taosdata/TDengine,https://github.com/taosdata/TDengine,2019-07-11,2022-02-20,17746,7675,6997,45,C,2535,2044
websockets/ws,https://github.com/websockets/ws,2011-11-09,2022-02-07,17742,655,471,88,JavaScript,1343,1338
python-telegram-bot/python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,2015-07-07,2022-02-02,17720,1131,847,88,Python,1586,1556
FelisCatus/SwitchyOmega,https://github.com/FelisCatus/SwitchyOmega,2012-06-08,2022-02-18,17693,35,7,51,CoffeeScript,2221,1681
dgraph-io/dgraph,https://github.com/dgraph-io/dgraph,2015-08-25,2022-01-05,17678,5757,4293,100,Go,2327,2318
phoenixframework/phoenix,https://github.com/phoenixframework/phoenix,2014-01-20,2022-02-19,17655,2530,1980,20,Elixir,2138,2117
1c7/chinese-independent-developer,https://github.com/1c7/chinese-independent-developer,2017-09-21,2022-02-15,17648,129,112,0,,63,61
openssl/openssl,https://github.com/openssl/openssl,2013-01-15,2022-02-21,17637,10782,111,0,C,6866,5463
vnpy/vnpy,https://github.com/vnpy/vnpy,2015-03-02,2022-02-12,17634,1345,938,48,Python,1869,1858
TheAlgorithms/Javascript,https://github.com/TheAlgorithms/Javascript,2017-07-13,2022-02-19,17630,759,463,0,JavaScript,129,124
PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,2016-08-15,2022-02-20,17628,25520,18746,52,Python,14139,12160
dennybritz/reinforcement-learning,https://github.com/dennybritz/reinforcement-learning,2016-08-24,2019-11-09,17623,90,58,0,Jupyter Notebook,149,61
nuysoft/Mock,https://github.com/nuysoft/Mock,2013-04-26,2019-10-24,17618,48,7,14,JavaScript,418,140
airyland/vux,https://github.com/airyland/vux,2016-02-15,2021-09-17,17584,491,329,80,Vue,3301,2928
jitsi/jitsi-meet,https://github.com/jitsi/jitsi-meet,2013-12-16,2022-02-17,17572,5918,4880,35,JavaScript,5027,4675
discordjs/discord.js,https://github.com/discordjs/discord.js,2015-08-10,2022-02-20,17533,3881,2995,68,JavaScript,3074,3014
google/flatbuffers,https://github.com/google/flatbuffers,2014-05-19,2022-02-19,17504,1865,1376,18,C++,1854,1729
AppFlowy-IO/AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,2021-06-16,2022-02-20,17471,154,119,4,Rust,174,74
InterviewMap/CS-Interview-Knowledge-Map,https://github.com/InterviewMap/CS-Interview-Knowledge-Map,2018-03-19,2019-12-21,17450,96,60,0,,104,75
pbatard/rufus,https://github.com/pbatard/rufus,2011-11-19,2022-02-18,17432,154,0,69,C,1697,1685
firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,2017-10-19,2022-02-18,17431,1690,1417,51,Rust,1205,1059
Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,2019-12-23,2021-11-17,17430,197,40,0,JavaScript,59,29
magenta/magenta,https://github.com/magenta/magenta,2016-05-05,2022-02-11,17426,1102,932,47,Python,866,570
hwdsl2/setup-ipsec-vpn,https://github.com/hwdsl2/setup-ipsec-vpn,2016-01-07,2022-02-20,17415,80,28,0,Shell,1009,1009
elunez/eladmin,https://github.com/elunez/eladmin,2018-12-14,2022-02-10,17414,135,62,0,Java,586,568
PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,2019-03-31,2022-02-20,17407,5715,4769,84,Python,4569,4175
Micropoor/Micro8,https://github.com/Micropoor/Micro8,2019-02-18,2019-03-07,17383,14,2,0,,45,31
Igglybuff/awesome-piracy,https://github.com/Igglybuff/awesome-piracy,2018-10-09,2021-04-25,17377,358,182,0,HTML,249,131
npm/npm,https://github.com/npm/npm,2009-09-29,2020-08-07,17376,2137,439,261,,18669,16502
mojs/mojs,https://github.com/mojs/mojs,2014-06-26,2022-01-27,17375,59,44,22,CoffeeScript,185,151
mxgmn/WaveFunctionCollapse,https://github.com/mxgmn/WaveFunctionCollapse,2016-09-30,2021-10-21,17363,29,18,0,C#,40,40
BoostIO/BoostNote-Legacy,https://github.com/BoostIO/BoostNote-Legacy,2016-03-06,2021-09-02,17353,1346,1074,15,JavaScript,2342,1900
urfave/cli,https://github.com/urfave/cli,2013-07-13,2022-02-17,17351,704,520,23,Go,633,566
uikit/uikit,https://github.com/uikit/uikit,2013-07-18,2022-02-18,17349,558,200,218,HTML,3988,3300
apollographql/apollo-client,https://github.com/apollographql/apollo-client,2016-02-26,2022-02-20,17345,4859,3873,8,TypeScript,4148,3669
svg/svgo,https://github.com/svg/svgo,2012-08-22,2022-02-17,17340,574,380,50,JavaScript,1076,900
philc/vimium,https://github.com/philc/vimium,2009-09-20,2022-01-20,17339,1001,586,0,JavaScript,2989,2067
HelloZeroNet/ZeroNet,https://github.com/HelloZeroNet/ZeroNet,2015-01-12,2021-01-25,17330,578,388,22,JavaScript,2131,1436
TencentARC/GFPGAN,https://github.com/TencentARC/GFPGAN,2021-03-19,2022-02-15,17329,19,11,5,Python,142,66
sdras/awesome-actions,https://github.com/sdras/awesome-actions,2018-10-17,2020-10-16,17300,548,435,0,,37,24
swoole/swoole-src,https://github.com/swoole/swoole-src,2012-07-21,2022-02-17,17274,1570,1319,224,C++,2990,2915
google/flexbox-layout,https://github.com/google/flexbox-layout,2016-05-04,2021-05-20,17274,286,246,25,Kotlin,310,214
ossrs/srs,https://github.com/ossrs/srs,2015-04-29,2022-02-18,17269,418,200,37,C++,984,823
crystal-lang/crystal,https://github.com/crystal-lang/crystal,2012-11-27,2022-02-20,17261,5523,4253,94,Crystal,6187,5040
nushell/nushell,https://github.com/nushell/nushell,2019-05-10,2022-02-20,17245,2544,2351,47,Rust,1947,1656
facebook/flux,https://github.com/facebook/flux,2014-07-20,2022-02-14,17237,295,194,4,JavaScript,239,232
dotnet/core,https://github.com/dotnet/core,2014-11-18,2022-02-18,17230,1552,1396,157,Shell,4754,4402
typicode/lowdb,https://github.com/typicode/lowdb,2014-04-02,2022-02-20,17209,132,65,24,JavaScript,393,393
facebook/hhvm,https://github.com/facebook/hhvm,2010-01-02,2022-02-19,17197,3022,90,15,C++,5869,5275
nosir/cleave.js,https://github.com/nosir/cleave.js,2016-05-18,2020-05-19,17181,189,132,66,JavaScript,490,324
rome/tools,https://github.com/rome/tools,2020-02-20,2022-02-18,17167,1484,1341,12,Rust,599,545
GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15,2022-02-16,17166,1631,1237,160,TypeScript,3006,2760
react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,2014-10-19,2022-02-20,17158,1862,1376,137,TypeScript,1532,1252
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,2016-11-13,2022-02-14,17156,46,34,32,Java,3284,3269
arendst/Tasmota,https://github.com/arendst/Tasmota,2017-01-28,2022-02-20,17152,4327,3552,92,C,8439,8432
microsoft/CNTK,https://github.com/microsoft/CNTK,2015-11-26,2020-03-31,17128,552,257,32,C++,3280,2527
luong-komorebi/Awesome-Linux-Software,https://github.com/luong-komorebi/Awesome-Linux-Software,2016-08-06,2021-12-27,17128,442,402,0,Python,113,100
julianshapiro/velocity,https://github.com/julianshapiro/velocity,2014-04-09,2020-08-02,17122,116,54,18,JavaScript,814,772
elastic/kibana,https://github.com/elastic/kibana,2013-01-26,2022-02-18,17109,83101,75304,76,TypeScript,42727,33646
pubkey/rxdb,https://github.com/pubkey/rxdb,2016-12-02,2022-02-20,17057,3117,2772,101,TypeScript,529,527
alibaba/ice,https://github.com/alibaba/ice,2016-11-03,2022-01-19,17056,2935,2660,71,TypeScript,2198,2068
lensapp/lens,https://github.com/lensapp/lens,2018-11-12,2022-02-17,17051,2596,2241,155,TypeScript,2303,1645
refined-github/refined-github,https://github.com/refined-github/refined-github,2016-02-15,2022-02-17,17027,2548,2138,67,TypeScript,2826,2685
MLEveryday/100-Days-Of-ML-Code,https://github.com/MLEveryday/100-Days-Of-ML-Code,2018-08-05,2021-01-18,17024,55,45,0,Jupyter Notebook,48,40
iawia002/lux,https://github.com/iawia002/lux,2018-02-24,2022-02-19,17024,252,222,72,Go,773,438
dapr/dapr,https://github.com/dapr/dapr,2019-06-19,2022-02-18,17013,2171,1865,93,Go,1975,1743
jsdom/jsdom,https://github.com/jsdom/jsdom,2010-01-19,2021-12-02,17003,1277,757,33,JavaScript,2033,1649
kdeldycke/awesome-falsehood,https://github.com/kdeldycke/awesome-falsehood,2016-09-08,2022-01-11,16990,90,77,0,,24,22
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03,2022-02-19,16989,1545,1134,115,Java,6248,5232
chubin/wttr.in,https://github.com/chubin/wttr.in,2015-12-26,2022-01-16,16979,249,229,0,Python,449,275
mysqljs/mysql,https://github.com/mysqljs/mysql,2010-07-29,2020-10-01,16966,388,109,0,JavaScript,2130,1958
reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,2015-07-13,2021-11-29,16962,116,59,14,TypeScript,201,201
processing/p5.js,https://github.com/processing/p5.js,2013-02-26,2022-02-20,16957,2305,1944,78,JavaScript,3208,3019
valyala/fasthttp,https://github.com/valyala/fasthttp,2015-10-18,2022-02-20,16936,452,319,39,Go,752,706
facert/awesome-spider,https://github.com/facert/awesome-spider,2016-09-30,2021-06-08,16907,48,38,0,,35,15
checkcheckzz/system-design-interview,https://github.com/checkcheckzz/system-design-interview,2014-05-18,2020-12-23,16887,41,26,0,,12,6
JacksonTian/fks,https://github.com/JacksonTian/fks,2012-10-17,2017-07-06,16882,118,81,0,JavaScript,30,17
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,2019-02-25,2022-02-17,16875,387,319,7,TypeScript,614,599
junyanz/pytorch-CycleGAN-and-pix2pix,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,2017-04-18,2022-01-14,16867,125,75,0,Python,1244,875
